,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E8,E9,XH221,XH222,XH227,XH228,XH229,XH232,XH234,XH235,XH236,XH237,XH238,XH239_2,XH240,XH241,XH243,XH249,XH250_2,XH251,XH253,XH254,XH255,XH256,XH257,XH258,XH259,XH260,XH261,XH262,XH265,XH272,XH273,XH274,XH427_1,XH427_2
d__Archaea.__.__.__.__.__,0,0,0,0,0,0,0.000132923,0,0,0.000472509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001574237,0,0,0,0,0,0,0,0,0,0,0,0.000104692,0,0,0,0,0,0,0.000136516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000207473
d__Archaea.p__Altiarchaeota.c__Altiarchaeia.o__Altiarchaeales.f__Altiarchaeaceae.g__Candidatus_Altiarchaeum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000433179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea.p__Crenarchaeota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrososphaeraceae.__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144634,0,0,0,0,0,0,0,0,0,0,0.000158986,0,0
d__Archaea.p__Crenarchaeota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrososphaeraceae.g__Candidatus_Nitrocosmicus,0,0,0,0.000125115,0,0,0.000439668,0.000330966,0,0,0,0,0.000122113,0,0,0,0,0.000122724,0.000316756,0.000401632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000405665,0,0.000468911,0,0,0,0,0,0,0,0.000235743,0,0,0,0,0,0,0,0,0,0,0.000371918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192619,0,0,0,0,0
d__Archaea.p__Nanoarchaeota.c__Nanoarchaeia.o__Woesearchaeales.f__Woesearchaeales.g__Woesearchaeales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.__.__.__.__.__,0.000373578,0,0,0.000187672,0.00029578,0.000180874,0.000419219,0.000541581,0.000242176,0.000552936,0,0.000162378,0.000213697,0,0.00021915,0.000173577,0.000155419,0.000286357,0.000337192,0.000602448,0,0.00011035,0.000247273,0.000228156,0,0.000192007,0.000545163,0.031463618,0.000151672,0.000233517,0,0.00131697,0.00045727,0.000319614,0.000477211,0.000574416,0.000125484,0.000167395,0,0.009393738,0.000217182,0.000400021,0.000545211,0.000538841,0.007989436,0.001170303,0.003485716,0.003726034,0.000998844,0.000104274,0.000418118,0.000119932,0.000449874,0.000848227,0.000830616,0.000298802,0.000644299,0.000103947,0.000580906,0.000463808,0.000138769,0,0.000192961,0.000356189,0,0,0,0.000834479,0.000475168,0.000100913,0,0.000160734,0,0.00025348,0,0.000380373,0.001347987,0.000392769,0.000564768,0.000333379,0.000161836,0.000356084,0,0,0.000215705,0,0,0.000534468,0.001268851,0.000217513,0,0.00021816,0,0.000213191,0,0,0.001708,0,0,0.0001092,0.000946665,0.000296666,0.000346714,0,0,0,0,0.000433807
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.__.__.__,0,0.000113772,0,0,0,0,0,0,0,0,0,0.000200585,0.000244225,0,0,0.000162729,0.000766736,0.00010227,0,0.000126831,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000295029,0.000101534,0.00071509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104466,0.000623139,0,0,0.000142728,0,0.000203316,0,0,0,0,0,0,0,0,0,0,0.000217513,0,0,0,0,0,0.000142554,0,0,0,0,0,0,0.000231143,0,0,0,0,0.000150889
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Acidobacteriae.f__Acidobacteriae.g__Paludibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Acidobacteriales.__.__,0,0,0,0,0,0,0,0.00014041,0,0,0,0,0,0,0,0,0.000196865,0.000204541,0,0.000391063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132517,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Acidobacteriales.f__Acidobacteriaceae_.Subgroup_1..g__Acidicapsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106014,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Acidobacteriales.f__Acidobacteriaceae_.Subgroup_1..g__Granulicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Acidobacteriales.f__Acidobacteriaceae_.Subgroup_1..g__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
