,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E8,E9,XH221,XH222,XH227,XH228,XH229,XH232,XH234,XH235,XH236,XH237,XH238,XH239_2,XH240,XH241,XH243,XH249,XH250_2,XH251,XH253,XH254,XH255,XH256,XH257,XH258,XH259,XH260,XH261,XH262,XH265,XH272,XH273,XH274,XH427_1,XH427_2
d__Archaea.__.__.__.__.__,0,0,0,0,0,0,0.000132713,0,0,0.000469385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154489,0,0,0,0,0,0,0,0,0,0,0,0.000104556,0,0,0,0,0,0,0.0001364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea.p__Altiarchaeota.c__Altiarchaeia.o__Altiarchaeales.f__Altiarchaeaceae.g__Candidatus_Altiarchaeum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000425104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea.p__Crenarchaeota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrososphaeraceae.g__Candidatus_Nitrocosmicus,0,0,0,0.000124675,0,0,0.000438973,0.000328326,0,0,0,0,0.000121856,0,0,0,0,0.000122578,0.000316143,0.000400869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000404347,0,0.000468302,0,0,0,0,0,0,0,0.000234894,0,0,0,0,0,0,0,0,0,0,0.000371099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea.p__Crenarchaeota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrososphaeraceae.g__Nitrososphaeraceae,0,0,0,0,0,0.00119383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000539898,0,0,0,0,0,0,0,0,0,0.00020429,0.000516849,0,0,0,0,0,0,0,0,0
d__Archaea.p__Nanoarchaeota.c__Nanoarchaeia.o__Woesearchaeales.f__Woesearchaeales.g__Woesearchaeales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.__.__.__.__.__,0.000373413,0,0,0.000187013,0.000295511,0.000180363,0.000418555,0.00053726,0.000241957,0.00054928,0,0.000162313,0.000213248,0,0.000218647,0.00017338,0.000155244,0.000286015,0.000336539,0.000601304,0,0.000110319,0.000247184,0.000227671,0,0.00019194,0.00054508,0.030877062,0.000151645,0.000233488,0,0.001316116,0.000457078,0.000318577,0.00047593,0.00057367,0.000125334,0.000167349,0,0.009381505,0.000217174,0.000399986,0.000545201,0.000536901,0.00798864,0.001170158,0.003482736,0.003726034,0.000998493,0.000104265,0.000417881,0.000119918,0.000449852,0.000848151,0.000828787,0.000298784,0.000638666,0.00010394,0.000578046,0.000463714,0.000138765,0,0.000192948,0.000355759,0,0,0,0.000834307,0.000475124,0.000100911,0,0.000160442,0,0.00025336,0,0.0001514,0.001830708,0.000986436,0.000374111,0.001268432,0.000243625,0.000722245,0,0,0.000291327,0,0.001444766,0.000647878,0.00236535,0.000125219,0,0,0,0,0,0.000346081,0.00252419,0,0,0,0.000722543,0,0,0.000251857,0,0,0,0
d__Bacteria.p__Abditibacteriota.c__Abditibacteria.o__Abditibacteriales.f__Abditibacteriaceae.g__Abditibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.__.__.__,0,0.000113523,0,0,0,0,0,0,0,0,0,0.000200504,0.000243712,0,0,0.000162543,0.000765871,0.000102148,0,0.00012659,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294071,0.000101262,0.00071416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104393,0.000622842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Acidobacteriae.f__Acidobacteriae.g__Paludibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000475662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Acidobacteriales.__.__,0,0,0,0,0,0,0,0.00013929,0,0,0,0,0,0,0,0,0.000196643,0.000204296,0,0.00039032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000220553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232582,0,0,0,0,0,0,0,0,0
