Specimen_number,d__Bacteria.p__Acidobacteriota.c__Holophagae.o__Subgroup_7.f__Subgroup_7.g__Subgroup_7,d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Dietziaceae.g__Dietzia,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Weeksellaceae.g__Chryseobacterium,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Weeksellaceae.g__Empedobacter,d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Sphingobacterium,d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter,d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Listeriaceae.g__Listeria,d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus,d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus,d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea,d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Subdoligranulum,d__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.Selenomonadales.f__Veillonellaceae.g__Dialister,d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Brevundimonas,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae.g__Shewanella,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Massilia,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Noviherbaspirillum,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__TRA3.20.g__TRA3.20,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas,d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas,shannon_promote,shannon_inhibit,Time,group,Batch
E1,0.000766313,0.0,0.001666731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002069045,0.001331469,0.000373578,0.000210736,0.0,0.0,0.849065098,0.00536419,0.054969839,1.393402377,36,AI-noLM,Union74
E10,0.001365265,0.0,0.001649696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008618238,0.000237025,0.000123253,0.001156683,0.0,0.0,0.925156911,0.001118759,0.061614678,1.330205671,56,AI-noLM,Union74
E11,0.0,0.0,0.002085288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000486567,0.026795955,0.0,0.0,0.0,0.0,0.0,0.868870121,0.010913009,0.198003787,0.485045051,26,AI-noLM,Union74
E12,0.002304196,0.0,0.252116523,0.0,0.0,0.0,0.0,0.00030236,0.0,0.000510885,0.00038577,0.000354492,0.000125115,0.001741179,0.000437901,0.0,0.004233047,0.00038577,0.0,0.403786805,0.00140754,0.058137601,0.194367147,27,AI-noLM,Union74
E13,0.00014789,0.0,0.044535995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002778218,0.005218402,0.008852269,0.00029578,0.0,0.0,0.300015845,0.043057096,0.421469036,0.753182314,16,noAI-noLM,Union74
E14,0.001326408,0.0,0.000732109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000172261,0.004496008,0.000895756,0.000542622,0.000508169,0.0,0.0,0.139109239,0.047810995,0.666564374,1.652521061,64,noAI-noLM,Union74
E15,0.000153373,0.0,0.000593041,0.0,0.0,0.0,0.0,0.00033742,0.000102248,0.0,0.0,0.0,0.000122698,0.003864991,0.002147217,0.001094058,0.00097136,0.000112473,0.0,0.131972066,0.056205969,0.700536756,1.662199646,27,AI-noLM,Union74
E16,0.000752196,0.0,0.000541581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000371084,0.005907249,0.000521523,0.000401171,0.00084246,0.0,0.0,0.089240583,0.709772536,0.390841752,1.747006171,18,AI-noLM,Union74
E17,0.0,0.0,0.000260805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001369225,0.0,0.0,0.0,0.0,0.0,0.074636736,0.835441505,0.294495322,0.0,31,AI-noLM,Union74
E18,0.000110587,0.0,0.000462456,0.0,0.0,0.0,0.0,0.000221174,0.0,0.0,0.0,0.0,0.000150801,0.004986478,0.003046175,0.000492616,0.001095819,0.0,0.0,0.065346993,0.687299561,0.332805268,1.37403984,22,AI-noLM,Union74
E19,0.0,0.0,0.000374828,0.000121566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006068158,0.000151957,0.01180201,0.00020261,0.0,0.0,0.0,0.0,0.175287706,0.036196207,0.644643554,0.450794529,28,AI-noLM,Union74
E2,0.000458479,0.0,0.001938984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004565687,0.003266663,0.001977191,0.000525341,0.0,0.0,0.890060557,0.003448144,0.057091594,1.389487682,59,AI-noLM,Union74
E20,0.002839117,0.0,0.004162003,0.001536583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000213697,0.070377531,0.000315457,0.0,0.00272718,0.0,0.0,0.625898036,0.065604966,0.606003315,1.261466739,29,AI-noLM,Union74
E21,0.0,0.0,0.000371219,0.0,0.001647849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092352,0.030367507,0.0,0.0,0.0,0.0,0.0,0.723632149,0.059521762,0.418217583,0.949570228,34,AI-noLM,Union74
E22,0.001698413,0.0,0.003606845,0.0,0.0,0.0,0.0,0.0,0.0,0.000210019,0.000648319,0.0004383,0.0001461,0.00838249,0.0005844,0.0,0.003981226,0.000210019,0.0,0.743192651,0.045382326,0.278586941,1.589682962,29,noAI-noLM,Union74
E23,0.002397535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001735772,0.000412246,0.018919916,0.002354141,0.000791946,0.002006986,0.0,0.0,0.267894725,0.027869991,0.520752797,1.661861131,15,AI-noLM,Union74
E24,0.003160196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001771782,0.000683846,0.047589444,0.00702496,0.004154881,0.003253448,0.0,0.0,0.629707915,0.028876939,0.414689871,1.609564677,28,AI-noLM,Union74
E25,0.002546533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001564737,0.000286357,0.01423604,0.001799959,0.000511352,0.002188587,0.0,0.0,0.736357128,0.006483944,0.142479367,1.606734898,60,AI-noLM,Union74
E26,0.001706397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000122615,0.0,0.0,0.002166205,0.000592641,0.009073539,0.002574923,0.000521115,0.002401218,0.0,0.0,0.680443868,0.006519051,0.122471307,1.694500011,61,AI-noLM,Union74
E27,0.003614687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001955313,0.000623586,0.025207686,0.001669943,0.000253662,0.002705731,0.0,0.0,0.608123534,0.056217896,0.436159427,1.562746564,51,noAI-noLM,Union74
E28,0.000615329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001291182,0.000232009,0.009885609,0.001240745,0.0,0.002209131,0.0,0.0,0.731171949,0.144693042,0.504460626,1.414556493,37,AI-noLM,Union74
E29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125467733,0.001564961,0.0,0.000240763,0.0,0.0,0.233740959,0.002347441,0.681980118,0.39267426,48,AI-noLM,Union74
