Unnamed: 0,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E8,E9,XH221,XH222,XH227,XH228,XH229,XH232,XH234,XH235,XH236,XH237,XH238,XH239_2,XH240,XH241,XH243,XH249,XH250_2,XH251,XH253,XH254,XH255,XH256,XH257,XH258,XH259,XH260,XH261,XH262,XH265,XH272,XH273,XH274,XH427_1,XH427_2
d__Bacteria.p__Acidobacteriota.c__Holophagae.o__Subgroup_7.f__Subgroup_7.g__Subgroup_7,0.000766313,0.001365265,0.0,0.002304196,0.00014789,0.001326408,0.000153373,0.000752196,0.0,0.000110587,0.0,0.000458479,0.002839117,0.0,0.001698413,0.002397535,0.003160196,0.002546533,0.001706397,0.003614687,0.000615329,0.0,0.000209231,0.000109853,0.000608247,0.000105604,0.0,0.0,0.0,0.0,0.0,0.0,0.000719956,0.001290751,0.000538131,0.007080559,0.000752902,0.0,0.000183569,0.0,0.0,0.0,0.0,0.00013471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001190137,0.0,0.0,0.0,0.000671047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000661845,0.000825281,0.000591453,0.000343372,0.000484111,0.001030813,0.000303504,0.001310261,0.000239349,0.0,0.00022135,0.000169947,0.000334284,0.0,0.000391472,0.0,0.000359948,0.00021821,0.000994345,0.0,0.000581759,0.000895225,0.000294407,0.00030993,0.000641494,0.00025376,0.000166015,0.001020381,0.000537598,0.000322061,0.001063054,0.001252022,0.000148761,0.0,0.000476958,0.000236777,0.001980422
d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Dietziaceae.g__Dietzia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047576,0.0,0.0,0.0,0.0,0.0,0.000219932,0.0,0.000373888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000144634,0.000641494,0.0,0.0,0.0,0.0,0.003064461,0.0,0.0,0.0,0.002176373,0.0,0.0,0.0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Weeksellaceae.g__Chryseobacterium,0.001666731,0.001649696,0.002085288,0.252116523,0.044535995,0.000732109,0.000593041,0.000541581,0.000260805,0.000462456,0.000374828,0.001938984,0.004162003,0.000371219,0.003606845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003109932,0.0,0.0,0.0,0.0,0.000718444,0.0,0.0,0.0,0.0,0.001109122,0.0,0.0,0.000269624,0.0,0.0,0.0,0.032302275,0.003522124,0.000304364,0.000411005,0.002503368,0.000913553,0.000304469,0.000409549,0.00015628,0.000332948,0.000132713,0.000911284,0.0,0.000289919,0.000345209,0.002727397,0.0,0.003914115,0.000103947,0.00016025,0.000131076,0.0,0.0,0.0,0.000474918,0.0,0.00107528,0.0,0.0,0.0,0.000192652,0.0,0.0,0.000731261,0.000802687,0.0,0.0,0.0,0.000285651,0.001084354,0.000435957,0.0,0.0,0.00057982,0.001827894,0.000675875,0.000216707,0.0,0.0004363,0.000630385,0.000870052,0.000629004,0.0,0.000221043,0.0,0.0,0.000196012,0.0,0.000406737,0.0,0.000352799,0.0,0.000247222,0.0,0.0,0.001170405,0.001271889,0.000573729,0.0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Weeksellaceae.g__Empedobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000121566,0.0,0.001536583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000190176,0.0,0.0,0.0,0.0,0.0,0.000442543,0.000284296,0.000492357,0.000188225,0.000157549,0.0,0.000228419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000147977,0.0,0.000589654,0.0,0.000259927,0.000177536,0.0,0.0,0.00073289,0.000789996,0.000220344,0.000141159,0.002031976,0.003378793,0.0,0.003829029,0.0,0.0,0.00010003,0.0,0.000100516,0.0,0.000134648,0.0,0.0,0.0,0.0,0.0,0.0,0.000124972,0.0,0.0,0.001877302,0.000125111,0.000109966,0.0,0.0,0.0,0.0,0.000109075,0.002699339,0.000403953,0.0,0.000203616,0.0,0.000121824,0.000185958,0.0,0.00011712,0.0,0.0,0.0,0.000156151,0.0,0.0004045,0.0,0.0,0.000249835,0.0,0.0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Sphingobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000160554,0.0,0.0,0.0,0.0,0.000328623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135544,0.0,0.0,0.0,0.0,0.000348509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232146,0.0,0.0,0.0
d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000717521,0.000111011,0.000428476,0.000248498,0.0,0.000116522,0.001077877,0.000919715,0.0,0.0,0.000237679,0.000399466,0.00113438,0.0,0.001553664,0.0,0.0,0.0,0.000456839,0.0,0.000516759,0.00223504,0.0,0.0,0.000302399,0.000322061,0.000420277,0.0,0.001009446,0.000551348,0.001135615,0.0,0.0
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Listeriaceae.g__Listeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024808702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021141209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus,0.0,0.0,0.0,0.00030236,0.0,0.0,0.00033742,0.0,0.0,0.000221174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00220959,0.0,0.0,0.0,0.0,0.0,0.000127415,0.0,0.0,0.0,0.0,0.0,0.000199944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000170051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031627,0.0,0.0,0.0,0.000329898,0.000120911,0.0,0.000237679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000185429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.000102248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000122615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000538833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000235743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002289144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002079355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea,0.0,0.0,0.0,0.000510885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000210019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000140673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000317937,0.000510045,0.0,0.000151752,0.0,0.0,0.0,0.0,0.002359269,0.0,0.0,0.0,0.0,0.000370855,0.0,0.0,0.004993205,0.0,0.0,0.0,0.0,0.000383114,0.0,0.000838376,0.0,0.0,0.000302542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Subdoligranulum,0.0,0.0,0.0,0.00038577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000648319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000233564,0.000152301,0.000152396,0.000156855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004434801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
